Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
18-May-2022,322.50,325.70,316.40,319.75,319.567047290320182008,833807,14297,266457241.00,265841,31.88,9.30,-2.75
17-May-2022,293.00,323.00,293.00,321.15,311.844798500012471505,1643747,27467,512593952.00,443099,26.96,30.00,28.15
16-May-2022,293.40,302.35,279.80,287.15,290.576345996395677596,862298,12322,250563402.00,170430,19.76,22.55,-6.25
13-May-2022,318.45,321.70,290.60,292.65,306.992213612924881134,920581,14624,282611199.00,240244,26.10,31.10,-25.80
12-May-2022,323.00,325.80,304.30,312.35,317.368659121834472318,725353,9741,230204309.00,156702,21.60,21.50,-10.65
11-May-2022,332.00,340.35,316.60,325.60,328.142486720902957987,485161,8595,159201937.00,96919,19.98,23.75,-6.40
10-May-2022,343.15,352.90,328.25,330.15,341.610114756934432847,728322,16761,248802162.00,189567,26.03,24.65,-13.00
9-May-2022,356.90,357.90,347.35,350.20,352.851751802908990614,616365,13609,217485470.00,173009,28.07,10.55,-6.70
6-May-2022,367.70,372.00,356.05,360.60,363.328294948064417897,686331,14051,249363472.00,225616,32.87,15.95,-7.10
5-May-2022,403.45,409.55,400.80,405.05,404.652932074382011452,367078,6440,148539189.00,122661,33.42,8.75,1.60
4-May-2022,411.00,412.00,392.55,395.05,404.155341207054974115,2231050,24758,901690774.00,1650116,73.96,19.45,-15.95
2-May-2022,408.40,409.00,399.55,407.95,404.170180287733076618,709477,14807,286749447.00,333319,46.98,9.45,-0.45
29-April-2022,414.80,419.55,406.35,408.40,412.331882119608773698,764877,12839,315383173.00,306598,40.08,13.20,-6.40
28-April-2022,418.00,418.00,405.15,411.65,410.825124950862020553,267105,4039,109733445.00,72690,27.21,12.85,-6.35
27-April-2022,410.25,418.00,405.45,412.55,409.314632032811389708,1141311,7697,467155292.00,125963,11.04,12.55,2.30
26-April-2022,403.50,412.40,402.10,411.65,407.041390809151442862,472013,4152,192128828.00,67459,14.29,10.30,8.15
25-April-2022,408.00,409.65,397.10,401.90,403.722336528548553379,455890,10222,184052976.00,129716,28.45,12.55,-6.10
22-April-2022,422.00,424.85,415.00,415.95,420.521998192182109981,216836,3142,91184308.00,47672,21.99,9.85,-6.05
21-April-2022,423.00,426.10,417.50,424.70,423.816544545344052228,691116,4400,292906395.00,102770,14.87,8.60,1.70
20-April-2022,428.00,428.70,417.85,421.85,423.807000316410810338,274959,6201,116529549.00,75393,27.42,10.85,-6.15
