Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
18-November-2021,345.70,345.70,302.35,309.60,316.373197474700584903,3231300,43280,1022296713.00,949837,29.39,43.35,-36.10
17-November-2021,331.95,340.80,329.05,338.40,335.280792258161689949,424912,5354,142464832.00,107826,25.38,11.75,6.45
16-November-2021,324.00,339.15,323.95,332.40,334.472999768592794719,1162453,13438,388809142.00,474445,40.81,15.20,8.40
15-November-2021,330.00,331.50,323.90,324.90,327.654458183885118510,760018,3937,249023286.00,515660,67.85,7.60,-5.10
12-November-2021,326.00,331.65,323.85,328.10,327.663595396251638310,1298594,12053,425501979.00,657073,50.60,7.80,2.10
11-November-2021,322.70,326.95,317.10,324.05,323.496384886457950664,1469940,14303,475520276.00,886416,60.30,9.85,1.35
10-November-2021,317.50,325.90,316.35,323.25,321.810398262499662200,703079,8439,226258133.00,260367,37.03,9.55,5.75
9-November-2021,322.00,323.15,315.25,318.35,319.086075092310478124,635085,6827,202646780.00,112796,17.76,7.90,-3.65
8-November-2021,315.00,327.10,311.15,324.65,319.471906551310908008,836138,7017,267122601.00,482238,57.67,15.95,9.65
4-November-2021,312.70,314.00,310.00,312.00,312.236781450382158804,159227,4083,49716526.00,73730,46.30,4.00,-0.70
3-November-2021,310.00,317.10,307.50,310.70,312.464905475650179009,964196,10941,301277412.00,381756,39.59,9.60,0.70
2-November-2021,305.00,314.75,305.00,308.15,309.900088569512724247,1394385,12385,432120035.00,525014,37.65,9.75,3.15
1-November-2021,313.20,313.20,300.10,302.35,304.646402007201052904,730171,7791,222443968.00,167495,22.94,13.10,-10.85
